ethnic,concept_order,tag,feature_type,core_concept,concept,concept_key,normalized_form,component_tokens,confidence,source_intermediate_proto_from_reduction,lexicon_stage_used,lexicon_family_bucket,note
Estonian,119,speleonym,cave,anatomy and hollows,hollow,hollow,onkalo,hollow,Medium,Proto-Finnic,Proto-Finnic,Finnic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Estonian,120,speleonym,cave,anatomy and hollows,deep dark womb,deep_dark_womb,syva pimea kohtu,deep + dark + womb,Working,Proto-Finnic,Proto-Finnic,Finnic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Estonian,121,speleonym,cave,anatomy and hollows,subterranean shelter,subterranean_shelter,maanalainen suoja,subterranean + shelter,Working,Proto-Finnic,Proto-Finnic,Finnic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Estonian,122,speleonym,cavern,anatomy and hollows,deep rift,deep_rift,syva railko,deep + rift,Working,Proto-Finnic,Proto-Finnic,Finnic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Estonian,123,speleonym,cavern,anatomy and hollows,cleft in rock,cleft_in_rock,halkeama kallio,cleft + rock,Working,Proto-Finnic,Proto-Finnic,Finnic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Estonian,124,speleonym,cavern,anatomy and hollows,underground chamber,underground_chamber,maanala kammio,underground + chamber,Working,Proto-Finnic,Proto-Finnic,Finnic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Estonian,125,speleonym,cavern,anatomy and hollows,abyss,abyss,syvyys,abyss,Medium,Proto-Finnic,Proto-Finnic,Finnic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Etruscan,1,hydronym,river,movement and sound,to flow,to_flow,rinuth,flow_v,Medium,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,Etruscan/Tyrrhenian glossary-backed form from uploaded source; ASCII-normalized and not inflected. Source gloss: which flows/proceeds/advances.
Etruscan,2,hydronym,river,movement and sound,to run,to_run,srei,run_v,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Low-confidence semantic approximation from uploaded Etruscan/Tyrrhenian glossary; use as a placename seed, not a strict translation. Source has root glossed to run; retained without reconstruction mark."
Etruscan,3,hydronym,river,movement and sound,to rush,to_rush,vipa,rush_v,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Low-confidence semantic approximation from uploaded Etruscan/Tyrrhenian glossary; use as a placename seed, not a strict translation. Chosen from to shake/hurl/move vocabulary."
Etruscan,4,hydronym,river,movement and sound,to roll,to_roll,velsi,roll_v,Medium,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,Etruscan/Tyrrhenian glossary-backed form from uploaded source; ASCII-normalized and not inflected. Source gloss includes roll/round cane.
Etruscan,5,hydronym,river,movement and sound,to murmur,to_murmur,rua,murmur_v,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Low-confidence semantic approximation from uploaded Etruscan/Tyrrhenian glossary; use as a placename seed, not a strict translation. Chosen from rumor/voice vocabulary."
Etruscan,6,hydronym,river,movement and sound,to roar,to_roar,xavex,roar_v,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Low-confidence semantic approximation from uploaded Etruscan/Tyrrhenian glossary; use as a placename seed, not a strict translation. Chosen from shouts/invokes vocabulary."
Etruscan,7,hydronym,river,movement and sound,noisy one,noisy_one,rua,noisy + one,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Low-confidence semantic approximation from uploaded Etruscan/Tyrrhenian glossary; use as a placename seed, not a strict translation. Voice/rumor used as noisy-name seed; one is not separately represented."
Etruscan,8,hydronym,river,movement and sound,fast-moving current,fast_moving_current,menuci rinuth gava,fast + moving + current,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. menuci rapid/changeable + rinuth flowing + gava watercourse."
Etruscan,9,hydronym,lake,visibility and stagnation,standing water,standing_water,clanis,standing + water,Medium,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,Etruscan/Tyrrhenian glossary-backed form from uploaded source; ASCII-normalized and not inflected. Source identifies Clanis/Chiana as a river known for stagnant water.
Etruscan,10,hydronym,lake,visibility and stagnation,bright sheet,bright_sheet,tiusta lethiu,bright + sheet,Medium,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. tiusta brilliant/shining + lethiu sheet/scale."
Etruscan,11,hydronym,lake,visibility and stagnation,mirror,mirror,malena,mirror,Medium,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,Etruscan/Tyrrhenian glossary-backed form from uploaded source; ASCII-normalized and not inflected. Source glosses malena/malstria as mirror.
Etruscan,12,hydronym,lake,visibility and stagnation,flat water,flat_water,plaute neri,flat + water,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. Flat is inferred from Plautus/flat-footed note; neri water."
Etruscan,13,hydronym,lake,visibility and stagnation,basin,basin,slela,basin,Medium,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,Etruscan/Tyrrhenian glossary-backed form from uploaded source; ASCII-normalized and not inflected. Source glosses slela as cistern/basin.
Etruscan,14,hydronym,spring,action and sensation,to bubble up,to_bubble_up,cilva,bubble_v + up,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Low-confidence semantic approximation from uploaded Etruscan/Tyrrhenian glossary; use as a placename seed, not a strict translation. Chosen from to swell/grow/blaze vocabulary."
Etruscan,15,hydronym,spring,action and sensation,to leap,to_leap,scanin,leap_v,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Low-confidence semantic approximation from uploaded Etruscan/Tyrrhenian glossary; use as a placename seed, not a strict translation. Chosen from to rise/climb vocabulary."
Etruscan,16,hydronym,spring,action and sensation,to well forth,to_well_forth,put,well_v + forth,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Low-confidence semantic approximation from uploaded Etruscan/Tyrrhenian glossary; use as a placename seed, not a strict translation. put/puth is well/fountain/drinking-vessel vocabulary; verbal sense is inferred."
Etruscan,17,hydronym,spring,action and sensation,living water,living_water,huevia neri,living + water,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. huevia life + neri water."
Etruscan,18,hydronym,spring,action and sensation,eye of earth,eye_of_earth,pupara tluscv,eye + earth,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. pupara eye + tluscv earth/soil deity term."
Etruscan,19,hydronym,well,utility and sensation,dug water,dug_water,thamri neri,dug + water,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. thamri has a dug/scavato gloss; neri water."
Etruscan,20,hydronym,well,utility and sensation,deep pit,deep_pit,thup favi,deep + pit,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. thup selected from deep note; favi ditch/grave/vault."
Etruscan,21,hydronym,well,utility and sensation,sweet water,sweet_water,frauni neri,sweet + water,Medium,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. frauni sweet/soft + neri water."
Etruscan,22,hydronym,well,utility and sensation,source,source,put,source,Medium,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,Etruscan/Tyrrhenian glossary-backed form from uploaded source; ASCII-normalized and not inflected. put/puth is well/fountain vocabulary.
Etruscan,23,hydronym,well,utility and sensation,water hole,water_hole,neri luri,water + hole,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. neri water + luri fissure/opening/hole."
Etruscan,24,hydronym,fords,utility and navigation,crossing point,crossing_point,vatlu,crossing + point,Medium,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,Etruscan/Tyrrhenian glossary-backed form from uploaded source; ASCII-normalized and not inflected. Source glosses Vetulonia root as ford/ferry crossing/ferryman.
Etruscan,25,hydronym,fords,utility and navigation,shallow,shallow,tafina,shallow,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Low-confidence semantic approximation from uploaded Etruscan/Tyrrhenian glossary; use as a placename seed, not a strict translation. Chosen from shallow dish/saucer vocabulary."
Etruscan,26,hydronym,fords,utility and navigation,stepping place,stepping_place,scire suthi,stepping + place,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. scire step + suthi place/site."
Etruscan,27,hydronym,fords,utility and navigation,animal-passable path,animal_passable_path,zusle spure,animal + passable + path,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. zusle animal/victim + spure beaten path."
Etruscan,28,oronym,mountain,anatomy and visibility,head,head,cepen,head,Medium,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,Etruscan/Tyrrhenian glossary-backed form from uploaded source; ASCII-normalized and not inflected. Source glosses cepen as rector/president/head.
Etruscan,29,oronym,mountain,anatomy and visibility,peak,peak,tul,peak,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Low-confidence semantic approximation from uploaded Etruscan/Tyrrhenian glossary; use as a placename seed, not a strict translation. Chosen from tul boundary/stone plus source note comparing peak."
Etruscan,30,oronym,mountain,anatomy and visibility,summit,summit,tul,summit,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Low-confidence semantic approximation from uploaded Etruscan/Tyrrhenian glossary; use as a placename seed, not a strict translation. Chosen from tul boundary/stone plus source note comparing peak."
Etruscan,31,oronym,mountain,anatomy and visibility,stone massif,stone_massif,kar ma,stone + massif,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. kar rock/rocky mountain + ma greatness."
Etruscan,32,oronym,mountain,anatomy and visibility,high white hill,high_white_hill,cexa alfa tauru,high + white + hill,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. cexa above/over + alfa white/shining + tauru hill."
Etruscan,33,oronym,mountain,anatomy and visibility,cloud-cleaver,cloud_cleaver,lemnitru,cloud + cleaver,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Low-confidence semantic approximation from uploaded Etruscan/Tyrrhenian glossary; use as a placename seed, not a strict translation. Cleaver is represented; no usable cloud word found."
Etruscan,34,oronym,ridge,anatomy and geometry,spine,spine,dorsum,spine,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Low-confidence semantic approximation from uploaded Etruscan/Tyrrhenian glossary; use as a placename seed, not a strict translation. Dorsum/back is listed as Latin of possible Etruscan origin."
Etruscan,35,oronym,ridge,anatomy and geometry,backbone,backbone,dorsum remzi,backbone,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. dorsum back + remzi structure/beam."
Etruscan,36,oronym,ridge,anatomy and geometry,saw,saw,pritha,saw,Medium,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,Etruscan/Tyrrhenian glossary-backed form from uploaded source; ASCII-normalized and not inflected. Source glosses pritha as blade/saw.
Etruscan,37,oronym,ridge,anatomy and geometry,comb,comb,anxarie,comb,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Low-confidence semantic approximation from uploaded Etruscan/Tyrrhenian glossary; use as a placename seed, not a strict translation. Chosen from point/tooth vocabulary, useful for comb-like ridges."
Etruscan,38,oronym,ridge,anatomy and geometry,long crest,long_crest,thun tul,long + crest,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. thun protract/prolong + tul peak/boundary seed."
Etruscan,39,oronym,ridge,anatomy and geometry,ridge line,ridge_line,mala tular,ridge + line,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. mala mountain/wilderness + tular border/boundary line."
Etruscan,40,oronym,hill,anatomy and geometry,brow,brow,unknown,brow,Unknown,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,No usable Etruscan/Tyrrhenian form found in uploaded glossary for this exact concept; left unknown.
Etruscan,41,oronym,hill,anatomy and geometry,breast,breast,unknown,breast,Unknown,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,No usable Etruscan/Tyrrhenian form found in uploaded glossary for this exact concept; left unknown.
Etruscan,42,oronym,hill,anatomy and geometry,mound,mound,cemul,mound,Medium,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,Etruscan/Tyrrhenian glossary-backed form from uploaded source; ASCII-normalized and not inflected. Source glosses cemul as heap/pile.
Etruscan,43,oronym,hill,anatomy and geometry,heap,heap,cemul,heap,Medium,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,Etruscan/Tyrrhenian glossary-backed form from uploaded source; ASCII-normalized and not inflected. Source glosses cemul as heap/pile.
Etruscan,44,oronym,hill,anatomy and geometry,swelling,swelling,cilva,swelling,Medium,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,Etruscan/Tyrrhenian glossary-backed form from uploaded source; ASCII-normalized and not inflected. Source glosses cilva as to swell/grow/blaze.
Etruscan,45,oronym,hill,anatomy and geometry,small summit,small_summit,mavilitule tul,small + summit,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. mavilitule small/meager + tul summit/peak seed."
Etruscan,46,insular,island,isolation and geometry,cut off,cut_off,arthe,cut + off,Medium,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,Etruscan/Tyrrhenian glossary-backed form from uploaded source; ASCII-normalized and not inflected. Source glosses arthe velna as one who severs/cuts off.
Etruscan,47,insular,island,isolation and geometry,in middle of water,in_middle_of_water,itus neri,middle + water,Medium,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. itus middle + neri water."
Etruscan,48,insular,island,isolation and geometry,place apart,place_apart,par suthi,place + apart,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. par separately + suthi place/site."
Etruscan,49,insular,island,isolation and geometry,shield,shield,teta,shield,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Low-confidence semantic approximation from uploaded Etruscan/Tyrrhenian glossary; use as a placename seed, not a strict translation. Chosen from to cover/protect vocabulary."
Etruscan,50,insular,island,isolation and geometry,floating land,floating_land,vikare tluscv,floating + land,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. vikare floating gloss plus tluscv earth/land."
Etruscan,51,coastal,cape,anatomy and navigation,nose,nose,musum,nose,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Low-confidence semantic approximation from uploaded Etruscan/Tyrrhenian glossary; use as a placename seed, not a strict translation. musum snout/muzzle is listed as Latin of possible Etruscan origin."
Etruscan,52,coastal,cape,anatomy and navigation,horn,horn,tarna,horn,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Low-confidence semantic approximation from uploaded Etruscan/Tyrrhenian glossary; use as a placename seed, not a strict translation. Chosen from thorn/sting vocabulary for horn-like projection."
Etruscan,53,coastal,cape,anatomy and navigation,tongue,tongue,unknown,tongue,Unknown,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,No usable Etruscan/Tyrrhenian form found in uploaded glossary for this exact concept; left unknown.
Etruscan,54,coastal,cape,anatomy and navigation,forehead,forehead,unknown,forehead,Unknown,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,No usable Etruscan/Tyrrhenian form found in uploaded glossary for this exact concept; left unknown.
Etruscan,55,coastal,cape,anatomy and navigation,projection,projection,saca,projection,Medium,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,Etruscan/Tyrrhenian glossary-backed form from uploaded source; ASCII-normalized and not inflected. Source glosses saca as point.
Etruscan,56,coastal,cape,anatomy and navigation,land's end,land_s_end,tluscv tular,land + end,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. tluscv earth/land + tular border/limit."
Etruscan,57,coastal,natural harbor,utility and navigation,mouth,mouth_57,lur,mouth,Medium,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,Etruscan/Tyrrhenian glossary-backed form from uploaded source; ASCII-normalized and not inflected. lur/luri is opening vocabulary.
Etruscan,58,coastal,natural harbor,utility and navigation,embrace,embrace,san,embrace,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Low-confidence semantic approximation from uploaded Etruscan/Tyrrhenian glossary; use as a placename seed, not a strict translation. Chosen from union/joined/linker vocabulary."
Etruscan,59,coastal,natural harbor,utility and navigation,shelter,shelter,huzrna,shelter,Medium,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,Etruscan/Tyrrhenian glossary-backed form from uploaded source; ASCII-normalized and not inflected. Source glosses huzrna as ark/sanctuary/refuge/safe place.
Etruscan,60,coastal,natural harbor,utility and navigation,safe haven,safe_haven,huzrna,safe + haven,Medium,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,Etruscan/Tyrrhenian glossary-backed form from uploaded source; ASCII-normalized and not inflected. Source glosses huzrna as ark/sanctuary/refuge/safe place.
Etruscan,61,coastal,natural harbor,utility and navigation,protected water,protected_water,thue neri,protected + water,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. thue/thuve protected place + neri water."
Etruscan,62,coastal,natural harbor,utility and navigation,quiet anchorage,quiet_anchorage,paci huzrna,quiet + anchorage,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. paci quiet/collected + huzrna refuge/safe place."
Etruscan,63,dryronym,forest,visibility and atmosphere,dark,dark,calu,dark,Medium,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,Etruscan/Tyrrhenian glossary-backed form from uploaded source; ASCII-normalized and not inflected. Source glosses calu/calusna as dark/darkness.
Etruscan,64,dryronym,forest,visibility and atmosphere,shadow,shadow,hinthial,shadow,Medium,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,Etruscan/Tyrrhenian glossary-backed form from uploaded source; ASCII-normalized and not inflected. Source glosses hinthial as ghost/image/soul/shade/apparition.
Etruscan,65,dryronym,forest,visibility and atmosphere,hidden place,hidden_place,atrsce suthi,hidden + place,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. atrsce hidden + suthi place/site."
Etruscan,66,dryronym,forest,visibility and atmosphere,dense canopy,dense_canopy,thix sacnic,dense + canopy,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. thix thick plus sacnic cover."
Etruscan,67,dryronym,forest,visibility and atmosphere,timberland,timberland,luvcatru tluscv,timber + land,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. luvcatru wood-cutter + tluscv land/earth."
Etruscan,68,dryronym,forest,visibility and atmosphere,wild outside,wild_outside,mala,wild + outside,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Low-confidence semantic approximation from uploaded Etruscan/Tyrrhenian glossary; use as a placename seed, not a strict translation. mala mountain/wilderness used for wild outside."
Etruscan,69,dryronym,woodland,utility and atmosphere,brush,brush,prute,brush,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Low-confidence semantic approximation from uploaded Etruscan/Tyrrhenian glossary; use as a placename seed, not a strict translation. prute bush/stump/log vocabulary."
Etruscan,70,dryronym,woodland,utility and atmosphere,thicket,thicket,prute,thicket,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Low-confidence semantic approximation from uploaded Etruscan/Tyrrhenian glossary; use as a placename seed, not a strict translation. prute bush/stump/log vocabulary."
Etruscan,71,dryronym,woodland,utility and atmosphere,fuel source,fuel_source,verse put,fuel + source,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. verse fire + put source/well/fountain seed."
Etruscan,72,dryronym,woodland,utility and atmosphere,clearing-land,clearing_land,spure tluscv,clearing + land,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. spure beaten/trampled path/pavement + tluscv land."
Etruscan,73,dryronym,woodland,utility and atmosphere,sparse trees,sparse_trees,mevelce prute,sparse + trees,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. mevelce grown thin/small + prute bush/stump/log."
Etruscan,74,limnonym,swamp,texture and sensation,sinking ground,sinking_ground,seka tluscv,sinking + ground,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. seka to fall/founder + tluscv ground/earth."
Etruscan,75,limnonym,swamp,texture and sensation,soft earth,soft_earth,frauni tluscv,soft + earth,Medium,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. frauni sweet/soft + tluscv earth."
Etruscan,76,limnonym,swamp,texture and sensation,mud,mud,metua,mud,Low,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Low-confidence semantic approximation from uploaded Etruscan/Tyrrhenian glossary; use as a placename seed, not a strict translation. Chosen from wet/moisture vocabulary; exact mud word not found."
Etruscan,77,limnonym,swamp,texture and sensation,rotten place,rotten_place,putace suthi,rotten + place,Medium,Proto-Tyrsenian / Common Tyrrhenic,Etruscan / Tyrrhenian glossary-backed,Tyrrhenian / Etruscan,"Glossary-backed Etruscan/Tyrrhenian seed compound; ASCII-normalized, not inflected grammar. putace spoiled/putrid/rotten + suthi place/site."
