composite_id,composite_name,component_1_trait,component_1_position,component_2_trait,component_2_position,component_3_trait,component_3_position,disqualifier_1_trait,disqualifier_1_position,disqualifier_2_trait,disqualifier_2_position,composite_family,short_definition,conversion_note
C131,Watch Captain,perception,peak,discipline,peak,assertiveness,peak,empathy,excessive,honesty,deficient,warfare_security,"Keeps order through alertness, routine, and command presence.",Native 3-trait addition.
C132,Ambusher,patience,peak,perception,peak,courage,peak,modesty,deficient,neurochemical,excessive,warfare_security,"Waits, reads terrain, and strikes at the correct moment.",Native 3-trait addition.
C133,Assassin Temperament,focus,peak,patience,peak,empathy,deficient,honesty,peak,friendliness,peak,warfare_security,"Detached, patient, precise violence without obvious social heat.",Native 3-trait addition.
C134,Battlefield Medic,courage,peak,empathy,peak,focus,peak,neurochemical,excessive,nurturance,deficient,warfare_security,"Can stay useful around danger, injury, and panic.",Native 3-trait addition.
C135,Last Stand Defender,loyalty,excessive,resilience,peak,courage,excessive,adaptability,peak,temperance,deficient,warfare_security,Will hold beyond reason when duty or belonging is threatened.,Native 3-trait addition.
C136,Cowardly Schemer,courage,deficient,intellect,peak,persuasion,excessive,honesty,peak,assertiveness,peak,warfare_security,Avoids direct danger but manipulates others into risk.,Native 3-trait addition.
C137,Unbreakable Veteran,resilience,excessive,courage,peak,discipline,peak,empathy,excessive,neurochemical,excessive,warfare_security,Hardened by survival and emotionally difficult to move.,Native 3-trait addition.
C138,Reckless Hero,courage,excessive,generosity,peak,loyalty,peak,patience,peak,temperance,peak,warfare_security,Throws self into danger for others before calculation catches up.,Native 3-trait addition.
C139,Natural Philosopher,curiosity,peak,intellect,peak,patience,peak,honesty,deficient,focus,deficient,knowledge_craft,Observes nature carefully and turns curiosity into durable theory.,Native 3-trait addition.
C140,Field Researcher,curiosity,peak,resilience,peak,adaptability,peak,physical,deficient,courage,deficient,knowledge_craft,Learns by moving through uncertain environments and surviving them.,Native 3-trait addition.
C141,Master Scribe,discipline,peak,focus,peak,honesty,peak,creativity,excessive,patience,deficient,knowledge_craft,Accurate record keeper with attention and reliability.,Native 3-trait addition.
C142,Icon Maker,creativity,peak,discipline,peak,modesty,peak,honesty,deficient,focus,deficient,knowledge_craft,Crafts symbolic art within strict tradition or patron rules.,Native 3-trait addition.
C143,Experimental Alchemist,curiosity,excessive,creativity,excessive,discipline,peak,temperance,peak,intellect,deficient,knowledge_craft,"Pursues strange tests and inventions, held together by enough method.",Native 3-trait addition.
C144,Careful Engineer,intellect,peak,discipline,peak,temperance,peak,curiosity,deficient,focus,deficient,knowledge_craft,Builds reliable systems because imagination is checked by restraint.,Native 3-trait addition.
C145,Obsessive Archivist,focus,excessive,discipline,excessive,patience,peak,adaptability,peak,friendliness,peak,knowledge_craft,Preserves and organizes knowledge with potentially unhealthy fixation.,Native 3-trait addition.
C146,Improvising Tinkerer,creativity,peak,adaptability,peak,curiosity,peak,discipline,excessive,frugality,excessive,knowledge_craft,Solves problems with available parts and quick conceptual leaps.,Native 3-trait addition.
C147,Ritual Specialist,discipline,peak,civics,peak,creativity,peak,honesty,deficient,modesty,deficient,spiritual_culture,"Maintains ceremonies, scripts, and shared symbolic order.",Native 3-trait addition.
C148,Oracle Figure,perception,excessive,creativity,excessive,neurochemical,excessive,discipline,peak,honesty,peak,spiritual_culture,"Sees patterns everywhere; can inspire, mislead, or genuinely notice hidden signals.",Native 3-trait addition.
C149,Monastic Scholar,temperance,excessive,discipline,peak,intellect,peak,mating drive,excessive,modesty,deficient,spiritual_culture,"Learning through restraint, withdrawal, and controlled routine.",Native 3-trait addition.
C150,Doom Prophet,perception,excessive,justice,excessive,neurochemical,excessive,temperance,peak,empathy,peak,spiritual_culture,Reads threat and moral decay everywhere; warning becomes identity.,Native 3-trait addition.
C151,Mythmaker,creativity,peak,wit,peak,curiosity,peak,honesty,excessive,focus,excessive,spiritual_culture,"Turns history, fear, and identity into memorable stories.",Native 3-trait addition.
C152,Sacred Healer,empathy,peak,nurturance,peak,temperance,peak,honesty,deficient,patience,deficient,spiritual_culture,"Caregiving framed through ritual, restraint, and trust.",Native 3-trait addition.
C153,Heretic Thinker,curiosity,excessive,civics,excessive,intellect,peak,courage,deficient,creativity,deficient,knowledge_craft,Intelligent challenger of accepted doctrine and social rules.,Native 3-trait addition.
C154,Orthodox Keeper,civics,deficient,discipline,peak,loyalty,peak,curiosity,excessive,adaptability,excessive,spiritual_culture,Preserves existing order and doctrine with disciplined loyalty.,Native 3-trait addition.
C155,Pattern Analyst,perception,peak,intellect,peak,focus,peak,creativity,excessive,patience,deficient,knowledge_craft,Finds meaningful structure in complex information.,Native 3-trait addition.
C156,Lore Collector,curiosity,peak,patience,peak,friendliness,peak,focus,excessive,honesty,deficient,knowledge_craft,"Gathers stories, names, histories, and rumors across communities.",Native 3-trait addition.
C157,Quartermaster,frugality,peak,discipline,peak,patience,peak,generosity,excessive,honesty,deficient,economy_management,Turns scarce supplies into durable survival.,Native 3-trait addition.
C158,Guild Organizer,civics,peak,persuasion,peak,discipline,peak,ambition,deficient,friendliness,deficient,economy_management,"Coordinates craftspeople, rules, dues, and shared standards.",Native 3-trait addition.
C159,Shrewd Trader,perception,peak,persuasion,peak,frugality,peak,honesty,excessive,generosity,excessive,economy_management,"Reads needs, negotiates well, and protects margins.",Native 3-trait addition.
C160,Speculator,ambition,excessive,courage,excessive,curiosity,peak,temperance,peak,patience,excessive,economy_management,Chases risky opportunity before society can price it correctly.,Native 3-trait addition.
C161,Hoarding Miser,frugality,excessive,generosity,deficient,empathy,deficient,friendliness,peak,justice,peak,economy_management,Accumulation becomes identity and relationship cost.,Native 3-trait addition.
C162,Magnanimous Patron,generosity,excessive,ambition,peak,symmetry,peak,frugality,peak,modesty,peak,economy_management,"Uses wealth and display to create dependents, artists, and prestige.",Native 3-trait addition.
C163,Reliable Steward,honesty,peak,frugality,peak,discipline,peak,ambition,excessive,loyalty,deficient,economy_management,Manages property or resources without drama or theft.,Native 3-trait addition.
C164,Work Crew Anchor,physical,peak,loyalty,peak,discipline,peak,temperance,deficient,friendliness,deficient,labor_production,Dependable labor presence others can build around.,Native 3-trait addition.
C165,Master Farmer,patience,peak,discipline,peak,resilience,peak,adaptability,deficient,curiosity,excessive,labor_production,"Handles seasonality, repetition, and delayed rewards.",Native 3-trait addition.
C166,Resourceful Forager,perception,peak,adaptability,peak,curiosity,peak,discipline,excessive,focus,excessive,labor_production,Finds value in shifting landscapes and overlooked resources.,Native 3-trait addition.
C167,Smuggler,civics,excessive,perception,peak,persuasion,excessive,justice,peak,discipline,deficient,economy_criminal,"Breaks rules, reads patrols, and talks through danger.",Native 3-trait addition.
C168,Fence,persuasion,peak,honesty,deficient,frugality,peak,justice,peak,loyalty,excessive,economy_criminal,Converts stolen or taboo goods into usable exchange.,Native 3-trait addition.
C169,Gambler,courage,excessive,temperance,deficient,wit,peak,discipline,peak,frugality,peak,economy_risk,Risk appetite plus fast social/math instincts.,Native 3-trait addition.
C170,Debt Collector,assertiveness,excessive,justice,excessive,physical,peak,empathy,peak,temperance,deficient,economy_security,Extracts obligation through pressure and intimidation.,Native 3-trait addition.
C171,Midwife,nurturance,peak,empathy,peak,courage,peak,mating drive,deficient,neurochemical,excessive,care_health,"Care under danger, pain, and transition.",Native 3-trait addition.
C172,Patient Tutor,patience,peak,empathy,peak,intellect,peak,wit,deficient,assertiveness,excessive,care_teaching,Can explain difficult things without humiliating the learner.,Native 3-trait addition.
C173,Disciplinarian Teacher,discipline,peak,justice,peak,assertiveness,peak,empathy,excessive,patience,deficient,care_teaching,Teaches through structure and consequences.,Native 3-trait addition.
C174,Gentle Mentor,humility,peak,empathy,peak,patience,peak,ambition,excessive,honesty,excessive,care_teaching,Grows others without making the lesson about status.,Native 3-trait addition.
C175,Triage Nurse,focus,peak,nurturance,peak,neurochemical,peak,empathy,excessive,courage,deficient,care_health,Stays emotionally stable while deciding what care matters first.,Native 3-trait addition.
C176,Village Auntie/Uncle,friendliness,peak,nurturance,peak,perception,peak,modesty,deficient,empathy,deficient,care_social,Community caretaker who notices needs and informal problems.,Native 3-trait addition.
C177,Boundary Keeper,nurturance,peak,assertiveness,peak,temperance,peak,empathy,excessive,loyalty,excessive,care_health,Can care without being consumed or controlled.,Native 3-trait addition.
C178,Burnout Caregiver,nurturance,excessive,empathy,excessive,discipline,excessive,temperance,peak,humility,deficient,care_health,Self-erasing helper who cannot stop carrying everyone.,Native 3-trait addition.
C179,Neglected Prodigy,intellect,peak,creativity,peak,nurturance,deficient,resilience,peak,friendliness,peak,care_social,High promise shaped by low care; useful for backstory generation.,Native 3-trait addition.
C180,Paranoid Watcher,perception,excessive,neurochemical,excessive,courage,deficient,honesty,excessive,friendliness,peak,temperament_failure,Sees threats everywhere and lacks nerve to test them directly.,Native 3-trait addition.
C181,Explosive Temper,neurochemical,excessive,temperance,deficient,assertiveness,excessive,patience,peak,empathy,peak,temperament_failure,Emotional volatility becomes aggressive action.,Native 3-trait addition.
C182,Frozen Under Pressure,courage,deficient,focus,deficient,neurochemical,excessive,resilience,peak,discipline,peak,temperament_failure,Stress collapses action and attention.,Native 3-trait addition.
C183,Detached Analyst,intellect,peak,empathy,deficient,neurochemical,deficient,nurturance,peak,friendliness,peak,temperament_knowledge,Useful cold reasoning with low emotional contagion.,Native 3-trait addition.
C184,Chaotic Muse,creativity,excessive,neurochemical,excessive,discipline,deficient,focus,peak,temperance,peak,temperament_art,Inspiration-rich but hard to direct or sustain.,Native 3-trait addition.
C185,Quiet Grinder,discipline,peak,humility,peak,ambition,peak,modesty,deficient,patience,deficient,temperament_work,Improves steadily without demanding attention.,Native 3-trait addition.
C186,Overprepared Planner,discipline,excessive,focus,excessive,courage,deficient,adaptability,peak,wit,excessive,temperament_work,Preparation compensates for fear and uncertainty.,Native 3-trait addition.
C187,Charming Disaster,wit,peak,friendliness,peak,discipline,deficient,honesty,excessive,loyalty,excessive,temperament_social,"Fun, loved, and unreliable.",Native 3-trait addition.
C188,Brilliant Flake,intellect,peak,curiosity,peak,focus,deficient,discipline,peak,ambition,peak,temperament_knowledge,Can understand almost anything but struggles to stay on one track.,Native 3-trait addition.
C189,Tunnel Vision Expert,focus,excessive,intellect,peak,curiosity,peak,adaptability,peak,friendliness,peak,temperament_knowledge,Deep specialist who may miss context outside the obsession.,Native 3-trait addition.
C190,Moral Coward,justice,peak,courage,deficient,honesty,deficient,assertiveness,peak,empathy,deficient,temperament_failure,Knows the right thing but avoids the cost of saying or doing it.,Native 3-trait addition.
C191,Noble Failure,generosity,peak,justice,peak,discipline,deficient,frugality,peak,patience,deficient,temperament_status,"Good heart, poor execution, and unreliable follow-through.",Native 3-trait addition.
C192,Bitter Recluse,humility,excessive,friendliness,deficient,justice,excessive,empathy,peak,curiosity,peak,temperament_social,Withdrawn person who converts grievance into isolation.,Native 3-trait addition.
C193,Status Addict,ambition,excessive,humility,deficient,symmetry,peak,loyalty,peak,temperance,peak,status_social,Needs admiration and visible rank to feel real.,Native 3-trait addition.
C194,Obedient Functionary,loyalty,excessive,discipline,peak,civics,deficient,justice,excessive,curiosity,excessive,temperament_institution,Serves the system even when the system is ugly.,Native 3-trait addition.
C195,Principled Dissenter,civics,excessive,justice,peak,courage,peak,honesty,deficient,friendliness,deficient,temperament_institution,Breaks social rules in service of a clear moral rule.,Native 3-trait addition.
C196,Flexible Realist,adaptability,peak,temperance,peak,honesty,peak,justice,excessive,creativity,excessive,temperament_work,Practical truth-teller who adjusts without losing the plot.,Native 3-trait addition.
C197,Rigid Idealist,civics,deficient,justice,peak,curiosity,deficient,adaptability,peak,empathy,deficient,temperament_institution,Believes order and inherited norms are the only safe path.,Native 3-trait addition.
C198,Playful Trickster,wit,peak,creativity,peak,civics,excessive,empathy,deficient,discipline,excessive,culture_social,Uses humor and norm-breaking to expose or destabilize others.,Native 3-trait addition.
C199,Honest Fool,honesty,excessive,wit,deficient,perception,deficient,empathy,peak,modesty,deficient,temperament_social,Says the truth badly and misses the room.,Native 3-trait addition.
C200,Tactful Negotiator,honesty,peak,persuasion,peak,empathy,peak,wit,deficient,friendliness,deficient,temperament_social,Communicates truth without unnecessary injury.,Native 3-trait addition.
C201,Grudge Keeper,justice,excessive,loyalty,excessive,patience,excessive,generosity,peak,adaptability,peak,temperament_failure,Remembers offenses forever and waits for repayment.,Native 3-trait addition.
C202,Forgiving Reconciler,generosity,peak,empathy,peak,civics,peak,justice,excessive,honesty,deficient,temperament_social,Repairs relationships and restores group function.,Native 3-trait addition.
C203,Wild Innovator,creativity,excessive,curiosity,excessive,civics,excessive,discipline,peak,patience,peak,knowledge_craft,Pushes new forms by breaking assumptions and norms.,Native 3-trait addition.
C204,Conservative Master,discipline,peak,patience,peak,curiosity,deficient,creativity,excessive,adaptability,excessive,knowledge_craft,Preserves a craft through repetition and inherited standards.,Native 3-trait addition.
C205,Luxury Addict,temperance,deficient,frugality,deficient,symmetry,peak,discipline,peak,modesty,excessive,status_economy,"Consumption, display, and pleasure become status language.",Native 3-trait addition.
C206,Austere Reformer,temperance,excessive,frugality,peak,justice,peak,generosity,excessive,friendliness,deficient,leadership_governance,"Moral improvement through restraint, economy, and hard limits.",Native 3-trait addition.
C207,Kindly Fool,empathy,peak,friendliness,peak,intellect,deficient,perception,peak,honesty,deficient,temperament_social,Warm and well-meaning but easy to mislead.,Native 3-trait addition.
C208,Streetwise Survivor,perception,peak,adaptability,peak,honesty,deficient,justice,peak,loyalty,excessive,temperament_survival,Survives unstable environments through reading people and bending truth.,Native 3-trait addition.
C209,Stoic Provider,neurochemical,deficient,discipline,peak,nurturance,peak,friendliness,deficient,generosity,deficient,care_labor,Provides care through action rather than expressed warmth.,Native 3-trait addition.
C210,Affectionate Protector,nurturance,peak,loyalty,peak,physical,peak,empathy,deficient,courage,deficient,care_security,Defends family or group through attachment and strength.,Native 3-trait addition.
C211,Commanding Parent,nurturance,peak,assertiveness,excessive,discipline,peak,empathy,excessive,temperance,deficient,care_social,"Care mixed with control, high standards, and pressure.",Native 3-trait addition.
C212,Indulgent Host,generosity,excessive,friendliness,peak,temperance,deficient,frugality,peak,discipline,excessive,culture_social,"Creates abundance and welcome, sometimes without restraint.",Native 3-trait addition.
C213,Civic Volunteer,civics,peak,generosity,peak,friendliness,peak,ambition,excessive,empathy,deficient,civic_social,Helps maintain community life without needing command.,Native 3-trait addition.
C214,Local Boss,persuasion,excessive,generosity,peak,loyalty,excessive,justice,peak,humility,peak,leadership_governance,"Builds dependence through favors, influence, and faction loyalty.",Native 3-trait addition.
C215,Reckless Innovator,curiosity,excessive,courage,excessive,creativity,peak,temperance,peak,discipline,excessive,knowledge_craft,Runs toward untested ideas before safety checks catch up.,Native 3-trait addition.
C216,Careful Surgeon,focus,peak,discipline,peak,empathy,peak,courage,deficient,neurochemical,excessive,care_health,"Precise, controlled, and humane under high-stakes work.",Native 3-trait addition.
C217,Forensic Mind,perception,peak,honesty,peak,justice,peak,empathy,excessive,curiosity,deficient,knowledge_law,"Truth-seeking through evidence, pattern, and moral accountability.",Native 3-trait addition.
C218,Devil's Advocate,curiosity,peak,wit,peak,civics,excessive,empathy,deficient,justice,excessive,knowledge_social,Tests arguments by breaking assumptions and provoking thought.,Native 3-trait addition.
C219,Ceremonial Figurehead,symmetry,peak,modesty,peak,civics,peak,ambition,excessive,humility,deficient,status_culture,Embodies group identity more than direct power.,Native 3-trait addition.
C220,Masked Radical,civics,excessive,modesty,excessive,discipline,peak,loyalty,deficient,courage,deficient,civic_secret,"Quiet, disciplined norm-breaker who avoids personal visibility.",Native 3-trait addition.
C221,Waylaying Predator,courage,excessive,physical,peak,justice,deficient,empathy,peak,temperance,peak,crime_violent,"Uses nerve, force, and low respect for law to ambush the vulnerable.",Native 3-trait addition.
C222,Coercive Extractor,assertiveness,excessive,persuasion,excessive,justice,deficient,humility,peak,generosity,peak,crime_coercion,"Turns intimidation into obedience, favors, or repeated payment.",Native 3-trait addition.
C223,Blackmailer,perception,peak,honesty,deficient,persuasion,excessive,empathy,peak,justice,peak,crime_coercion,"Finds shame or secrets and converts them into leverage.",Native 3-trait addition.
C224,False-Maker,creativity,peak,discipline,peak,honesty,deficient,justice,peak,curiosity,deficient,crime_fraud,"Carefully makes false signs, tokens, stories, seals, or proofs.",Native 3-trait addition.
C225,Meticulous Falsifier,focus,peak,discipline,peak,honesty,deficient,justice,peak,courage,excessive,crime_fraud,"Patiently alters records, claims, or evidence while staying unremarkable.",Native 3-trait addition.
C226,Grave Robber,justice,deficient,courage,peak,temperance,deficient,empathy,peak,civics,peak,crime_taboo,"Breaks burial taboo for gain, need, or grim curiosity.",Native 3-trait addition.
C227,Arsonist,creativity,excessive,justice,deficient,neurochemical,excessive,patience,peak,empathy,peak,crime_destruction,"Uses destruction, spectacle, or revenge through fire and chaos.",Native 3-trait addition.
C228,Saboteur,focus,peak,civics,excessive,patience,peak,loyalty,excessive,honesty,peak,conflict_subversion,"Damages systems quietly for faction, grievance, or hidden cause.",Native 3-trait addition.
C229,Poisoner,patience,peak,discipline,peak,empathy,deficient,courage,peak,honesty,peak,crime_stealth,"Prefers slow concealed harm over open confrontation.",Native 3-trait addition.
C230,Knife-in-the-Dark,focus,peak,courage,peak,empathy,deficient,honesty,peak,friendliness,peak,crime_stealth,"Close-range hidden violence driven by nerve and detachment.",Native 3-trait addition.
C231,Transactional Fighter,ambition,peak,courage,peak,discipline,peak,empathy,excessive,loyalty,excessive,warfare_professional,"Treats organized violence as exchange rather than belonging.",Native 3-trait addition.
C232,War Profiteer,frugality,excessive,perception,peak,empathy,deficient,generosity,peak,justice,peak,economy_war,"Finds margin in fear, scarcity, and other people's danger.",Native 3-trait addition.
C233,Procedural Predator,justice,deficient,persuasion,peak,civics,deficient,honesty,peak,humility,peak,governance_corruption,"Uses rules, custom, or procedure as cover for predation.",Native 3-trait addition.
C234,Corruption Connector,persuasion,peak,perception,peak,honesty,deficient,justice,peak,loyalty,excessive,governance_corruption,"Knows who can be influenced and how to keep the exchange deniable.",Native 3-trait addition.
C235,Extraction Mind,frugality,excessive,assertiveness,excessive,civics,deficient,generosity,peak,empathy,peak,governance_extraction,"Turns obligation, debt, custom, or authority into personal extraction.",Native 3-trait addition.
C236,Coercive Muscle,physical,peak,assertiveness,excessive,empathy,deficient,justice,peak,temperance,peak,coercion_labor,"Forces compliance through strength and social impunity.",Native 3-trait addition.
C237,Captive-Taker,justice,deficient,physical,peak,empathy,deficient,civics,peak,generosity,peak,coercion_labor,"Treats vulnerable people as capturable assets when power allows it.",Native 3-trait addition.
C238,Exploitation Handler,persuasion,excessive,justice,deficient,empathy,deficient,loyalty,peak,honesty,peak,coercion_labor,"Uses deception and control to move vulnerable people into exploitation.",Native 3-trait addition.
C239,Deserter,courage,deficient,loyalty,deficient,adaptability,peak,justice,excessive,discipline,peak,warfare_failure,"Escapes obligation when survival outranks duty.",Native 3-trait addition.
C240,Collective Defier,civics,excessive,persuasion,peak,loyalty,deficient,patience,peak,humility,peak,warfare_rebellion,"Turns shared grievance into coordinated refusal or revolt.",Native 3-trait addition.
C241,Blood Feud Avenger,justice,excessive,loyalty,excessive,courage,peak,temperance,peak,empathy,peak,violence_revenge,"Pursues retaliation as family duty and moral accounting.",Native 3-trait addition.
C242,Serial Feudist,justice,excessive,neurochemical,excessive,patience,deficient,empathy,peak,adaptability,peak,violence_revenge,"Keeps conflict alive through grievance, volatility, and impulse.",Native 3-trait addition.
C243,Cruel Controller,assertiveness,excessive,empathy,deficient,discipline,excessive,justice,peak,humility,peak,coercion_labor,"Maintains order or output through fear, punishment, and rigid control.",Native 3-trait addition.
C244,Torturer,empathy,deficient,focus,excessive,assertiveness,excessive,temperance,peak,justice,peak,violence_cruelty,"Can sustain deliberate pain as information, punishment, or spectacle.",Native 3-trait addition.
C245,Authorized Violence,discipline,peak,resilience,excessive,empathy,deficient,justice,deficient,neurochemical,excessive,violence_institution,"Can make harm feel routine when a group or authority permits it.",Native 3-trait addition.
C246,Crowd Inciter,persuasion,excessive,neurochemical,excessive,civics,excessive,temperance,peak,empathy,peak,violence_collective,"Turns anger, rumor, and group energy into dangerous action.",Native 3-trait addition.
C247,Riot Spark,wit,excessive,civics,excessive,courage,excessive,discipline,peak,patience,peak,violence_collective,"Provokes disorder with bravado, timing, and contempt for rules.",Native 3-trait addition.
C248,Provocative Infiltrator,persuasion,excessive,civics,excessive,honesty,deficient,loyalty,peak,empathy,peak,conflict_subversion,"Incites others into exposing themselves or crossing lines.",Native 3-trait addition.
C249,Informant,perception,peak,honesty,deficient,courage,deficient,loyalty,peak,justice,excessive,intelligence_deception,"Trades secrets for safety, favor, or survival.",Native 3-trait addition.
C250,Split Allegiance,honesty,deficient,adaptability,peak,persuasion,peak,loyalty,peak,justice,peak,intelligence_deception,"Lives between factions by performing trust convincingly.",Native 3-trait addition.
C251,False Revelator,persuasion,excessive,creativity,excessive,honesty,deficient,humility,peak,empathy,peak,religion_manipulation,"Uses revelation, fear, or miracles as a path to power.",Native 3-trait addition.
C252,Purity Persecutor,justice,excessive,focus,excessive,civics,deficient,empathy,peak,adaptability,peak,religion_coercion,"Pursues impurity through certainty, authority, and sustained attention.",Native 3-trait addition.
C253,Hidden-Threat Seeker,perception,excessive,justice,excessive,courage,peak,empathy,peak,curiosity,peak,religion_coercion,"Sees concealed enemies or corruptions and demands action against them.",Native 3-trait addition.
C254,Scapegoat Maker,persuasion,excessive,justice,excessive,empathy,deficient,honesty,peak,humility,peak,politics_cruelty,"Protects the group or self by placing blame on a vulnerable target.",Native 3-trait addition.
C255,Ethnic Agitator,loyalty,excessive,persuasion,excessive,empathy,deficient,civics,peak,justice,peak,politics_cruelty,"Turns belonging into suspicion, exclusion, and organized hostility.",Native 3-trait addition.
C256,Inner-Circle Intriguer,perception,peak,persuasion,excessive,ambition,excessive,honesty,peak,loyalty,peak,court_intrigue,"Advances through secrets, access, and carefully timed influence.",Native 3-trait addition.
C257,Legitimacy Seizer,ambition,excessive,courage,peak,civics,deficient,humility,peak,loyalty,peak,leadership_coercion,"Sees authority as something to seize when weakness appears.",Native 3-trait addition.
C258,Inheritance Schemer,ambition,excessive,patience,peak,empathy,deficient,honesty,peak,loyalty,peak,court_intrigue,"Waits near succession, property, or dependency and removes obstacles quietly.",Native 3-trait addition.
C259,Whisper Weaver,friendliness,excessive,perception,peak,honesty,deficient,empathy,excessive,discipline,excessive,court_intrigue,"Spreads information as entertainment, weapon, and survival tool.",Native 3-trait addition.
C260,Reputation Assassin,persuasion,excessive,creativity,peak,empathy,deficient,honesty,peak,justice,peak,social_criminal,"Destroys standing through story, insinuation, and social timing.",Native 3-trait addition.
C261,Charming Predator,symmetry,peak,persuasion,excessive,empathy,deficient,justice,peak,temperance,peak,social_predation,"Uses attraction and charm without reciprocal care.",Native 3-trait addition.
C262,Jealous Stalker,loyalty,excessive,perception,excessive,neurochemical,excessive,temperance,peak,humility,peak,social_predation,"Attachment curdles into surveillance, entitlement, and threat.",Native 3-trait addition.
C263,Domestic Despot,assertiveness,excessive,nurturance,excessive,empathy,deficient,humility,peak,temperance,peak,care_coercion,"Frames control and domination as protection.",Native 3-trait addition.
C264,Smothering Controller,nurturance,excessive,loyalty,excessive,assertiveness,peak,adaptability,peak,humility,deficient,care_coercion,"Maintains attachment through obligation, care, and guilt.",Native 3-trait addition.
C265,Neglectful Caretaker,nurturance,deficient,discipline,deficient,empathy,deficient,justice,peak,friendliness,peak,care_failure,"Fails dependents through coldness, chaos, or disregard.",Native 3-trait addition.
C266,Deadbeat Drifter,discipline,deficient,loyalty,deficient,adaptability,peak,nurturance,peak,honesty,peak,care_failure,"Moves on when obligations become heavy.",Native 3-trait addition.
C267,Desperate Forager,justice,deficient,perception,peak,patience,peak,civics,peak,temperance,deficient,survival_crime,"Breaks resource rules to feed, sell, or survive.",Native 3-trait addition.
C268,Stock Thief,physical,peak,perception,peak,justice,deficient,loyalty,peak,discipline,excessive,survival_crime,"Steals herd animals or stored wealth through mobility, timing, and low scruple.",Native 3-trait addition.
C269,Boundary Raider,courage,excessive,physical,peak,loyalty,excessive,empathy,peak,civics,peak,warfare_raiding,"Thrives in factional raiding where law fades at the edge.",Native 3-trait addition.
C270,Raid-Minded Dominator,courage,excessive,persuasion,peak,justice,deficient,discipline,deficient,empathy,peak,warfare_raiding,"Channels nerve, spoils, and charisma into group predation.",Native 3-trait addition.
C271,Illicit Routefinder,perception,peak,adaptability,peak,civics,excessive,justice,peak,courage,deficient,economy_criminal,"Finds forbidden routes through geography, timing, and flexible rules.",Native 3-trait addition.
C272,Contraband Opportunist,frugality,peak,persuasion,peak,civics,excessive,honesty,peak,justice,peak,economy_criminal,"Profits from forbidden exchange while staying socially useful enough.",Native 3-trait addition.
C273,Market Cheat,persuasion,peak,honesty,deficient,frugality,peak,justice,peak,empathy,peak,economy_criminal,"Misprices, dilutes, or misrepresents goods for small steady gains.",Native 3-trait addition.
C274,Price Gouger,frugality,excessive,empathy,deficient,perception,peak,generosity,peak,justice,peak,economy_criminal,"Turns shortage and panic into maximal profit.",Native 3-trait addition.
C275,Loan Shark,frugality,excessive,assertiveness,excessive,empathy,deficient,generosity,peak,justice,peak,economy_criminal,"Uses debt as a trap and fear as collateral.",Native 3-trait addition.
C276,Debtor Fugitive,frugality,deficient,honesty,deficient,adaptability,peak,discipline,peak,loyalty,peak,economy_failure,"Survives bad obligations by vanishing, lying, or changing names.",Native 3-trait addition.
C277,Pickpocket,perception,peak,focus,peak,justice,deficient,physical,deficient,honesty,peak,crime_stealth,"Small theft through attention, timing, and low respect for property.",Native 3-trait addition.
C278,Burglar,patience,peak,perception,peak,justice,deficient,courage,deficient,discipline,deficient,crime_stealth,"Waits, watches, enters, and leaves with other people's goods.",Native 3-trait addition.
C279,Housebreaker Brute,physical,peak,courage,excessive,justice,deficient,perception,peak,temperance,peak,crime_violent,"Solves theft through force when subtlety is unnecessary.",Native 3-trait addition.
C280,Street Tough,physical,peak,assertiveness,excessive,courage,peak,empathy,peak,justice,peak,violence_street,"Uses presence and threat to survive or dominate public space.",Native 3-trait addition.
C281,Tavern Brawler,physical,peak,temperance,deficient,neurochemical,excessive,patience,peak,discipline,peak,violence_street,"Drink, pride, and volatility turn quickly into fists.",Native 3-trait addition.
C282,Duel Provoker,modesty,deficient,assertiveness,excessive,courage,excessive,patience,peak,humility,peak,status_violence,"Seeks insult and spectacle as a path to reputation.",Native 3-trait addition.
C283,Bully,assertiveness,excessive,empathy,deficient,physical,peak,justice,peak,courage,deficient,social_predation,"Dominates weaker people through pressure, status, or threat.",Native 3-trait addition.
C284,Cowardly Bully,assertiveness,excessive,courage,deficient,empathy,deficient,justice,peak,humility,peak,social_predation,"Targets only those unlikely to fight back.",Native 3-trait addition.
C285,Pack Follower,loyalty,excessive,courage,deficient,justice,deficient,empathy,peak,curiosity,peak,violence_collective,"Does ugly work when belonging and fear point the same way.",Native 3-trait addition.
C286,Death Cult Acolyte,loyalty,excessive,neurochemical,excessive,justice,excessive,adaptability,peak,temperance,peak,religion_violence,"Binds identity to apocalyptic certainty and group sacrifice.",Native 3-trait addition.
C287,Martyr Complex,loyalty,excessive,generosity,excessive,courage,excessive,temperance,peak,humility,deficient,religion_violence,"Needs suffering or sacrifice to prove worth and belonging.",Native 3-trait addition.
C288,Flagellant,temperance,excessive,justice,excessive,neurochemical,excessive,nurturance,peak,adaptability,peak,religion_extreme,"Turns pain, guilt, and control into spiritual practice.",Native 3-trait addition.
C289,Plague Hoarder,frugality,excessive,perception,excessive,empathy,deficient,generosity,peak,civics,peak,crisis_behavior,"Responds to disaster by securing goods and abandoning reciprocity.",Native 3-trait addition.
