trait,deviation_band,descriptor,status_tendency,leader_quality,leader_tendency,prehistoric_jobs,prehistoric_premium_jobs,bronze_age_jobs,bronze_age_premium_jobs,iron_age_jobs,iron_age_premium_jobs,medieval_jobs,medieval_premium_jobs,modern_jobs,modern_premium_jobs,society_need,selfish_desperate,strong_pairings,role_cluster,overlap_notes,design_notes
curiosity,deficient,dogmatic,middle-variable,strong,high,old-path tracker; tradition guard; ritual enforcer; taboo keeper; bone tool maker; clan conservative,tribal champion,temple guard; law repeater; border guard; censor; dock porter; ritual scribe,royal workshop specialist,censor; orthodox priest; legal formalist; tradition teacher; mill assistant; farmhand,siege craft specialist; inquisitor aide,censor; rigid theologian; guild rule keeper; tradition teacher; parish laborer; field hand,guild master; inquisitor,guard; standards enforcer; rigid bureaucrat; censor; medical aide; ideological moderator,master artisan; compliance officer,0.55,0.60,civics-authoritarian; discipline; loyalty,closed worldview and doctrine enforcement,"Compliance, censor, moderator, and standards roles recur with discipline/civics.",Dogma is useful for preserving standards but bad for discovery.
curiosity,optimal,curious,high,moderate,medium,toolmaker; explorer; tracker; healer; hide preparer; sky watcher,spirit guide,trader-explorer; physician; engineer; scribe; kiln assistant; astronomer-priest,temple astronomer,physician; engineer; spy; historian; ferry hand; dock worker,arena master; natural philosopher,physician; explorer; inventor; scholar; town crier assistant; cartographer,clockmaker,software engineer; UX researcher; scientist; physician; historian; dispatch clerk; investigative journalist,master architect,0.95,0.20,intellect; perception; creativity; discipline,discovery learning and investigation,"Scientist, physician, engineer, journalist, historian, and leader intentionally repeat with intellect/focus/perception.","Curiosity should absolutely share scientist with intellect. This was the user’s point, and it is correct."
curiosity,excess,distracted,volatile,poor,low,gadget tinkerer; restless scout; rumor chaser; wanderer; camp cook; herbalist,master toolmaker,wandering scribe; novelty merchant; restless trader; omen collector; brick carrier; apprentice,chariot master,gossip collector; spy; scholar; tinkerer; village smith helper; traveling philosopher,dueling judge,wandering scholar; troubadour; apprentice; curiosity merchant; brewery assistant; carpenter,siege engineer; alchemist,trend analyst; prototype hacker; research assistant; shift supervisor; restaurant worker; teacher aide,crisis mediator; contract worker; podcaster; travel writer,0.45,0.55,creativity; adaptability; neurochemical volatility,novelty chasing and low completion,"Hacker, researcher, creator, and traveler recur with creativity/adaptability but need focus to finish.",Great idea generator; terrible backlog janitor.
justice,deficient,criminal,volatile-low,moderate,high,rustler; raider; bandit; thief; river gatherer; poacher,tribal champion,guard; gravedigger; smuggler; bandit; irrigation trench digger; merchant,royal workshop specialist,bandit; tax clerk; thief; debt collector; road repair crew; blacksmith helper,siege craft specialist; pirate,highway robber; smuggler; poacher; fence; mill worker; bailiff,guild master,pickpocket; tax clerk; forger; field service technician; salesperson; construction worker,master artisan,0.05,1.00,persuasion-excess; ambition-excess; low empathy,lawbreaking exploitation and predation,"Criminal, official, fraudster, and smuggler recur with low honesty/empathy.",Useful for underworld job trees and antagonists.
justice,optimal,just,high,strong,high,oath keeper; notary; mediator; bone tool maker; dispute elder; leather worker,spirit guide; camp arbiter,law scribe; steward; notary; dock porter; temple arbitrator; woodcutter,temple astronomer; judge,notary; lawyer; bailiff assistant; guard; mill assistant; sailor,arena master; public advocate; judge; magistrate; officer,watchman; lawyer; notary; town clerk; parish laborer; guild arbiter,clockmaker; sheriff; judge; mayor,compliance lead; mediator; lawyer; notary; medical aide; civil-rights advocate,master architect; judge,1.00,0.10,temperance; honesty; empathy; civics,fairness law and trusted arbitration,"Judge, lawyer, mediator, compliance, advocate, and leader recur with honesty/civics/empathy.",Justice is the central trait for legitimate authority.
justice,excess,zealot,volatile-high,strong,high,temple guard; exile advocate; notary; hide preparer; feud witness; hunter,master toolmaker; feud judge,notary; moral police; temple enforcer; purge leader; kiln assistant; market seller,chariot master; priest; judge,guard; censor; prosecutor; rebel purifier; ferry hand; innkeeper,dueling judge; inquisitor; zealot officer,censor; bailiff assistant; town crier assistant; field hand; miller; fisherman,siege engineer; inquisitor; crusader; magistrate,activist; prosecutor; forum moderator; moral reformer; dispatch clerk; internal-affairs hardliner,crisis mediator,0.35,0.75,civics-authoritarian; dogmatic curiosity; temperance-excess,punitive absolutism and purity enforcement,"Censor, prosecutor, moderator, and activist recur with civics and dogma.",Good antagonist trait; can also be tragic hero machinery.
humility,deficient,vain,volatile,moderate,medium,street performer; hunter; court performer; guild rival; camp cook; decorated warrior,tribal champion,guard; court performer; luxury merchant; palace climber; brick carrier; public ritual figure,royal workshop specialist; officer,courtier; actor; philosopher; village smith helper; dock worker; household servant,siege craft specialist; gladiator [M]; agitator,courtier; herald; preacher; brewery assistant; baker; parish laborer,guild master; tournament fighter,influencer; executive; politician; actor; brand founder; shift supervisor,master artisan; public figure,0.30,0.85,symmetry; ambition; persuasion; modesty-deficient,ego display and reputation obsession,"Celebrity, influencer, politician, actor, and founder recur with symmetry/persuasion/ambition.",Can motivate excellence but corrupts feedback loops.
humility,optimal,humble,high,strong,medium,teacher; healer; elder; river gatherer; mediator; basket maker,spirit guide,teacher; steward; priest; notary; irrigation trench digger; physician,temple astronomer; judge,engineer; teacher; guard; notary; road repair crew; physician,arena master; officer; judge,teacher; physician; guild member; notary; mill worker; fuller,clockmaker; abbot; guild master; judge,servant leader; physician; therapist; engineer; teacher; field service technician; nonprofit director,master architect,0.95,0.10,modesty; empathy; justice; discipline,service leadership and teachability,"Teacher, physician, engineer, therapist, nonprofit director, and leader recur with modesty/empathy/justice.",Humble leader should be rare and powerful.
humility,excess,recluse,low-middle,poor,medium,cave painter; quiet healer; trapper; hermit; bone tool maker; solitary gatherer,master toolmaker,remote shepherd; hermit priest; night watch; scribe; dock porter; secluded artisan,chariot master,solitary guard; remote healer; archivist; copyist; mill assistant; philosopher hermit,dueling judge,forest warden; copyist; hermit; monk; parish laborer; secluded scholar,siege engineer,night technician; software developer; writer; archivist; artist; medical aide; research assistant,crisis mediator,0.50,0.45,focus; intellect; creativity; mating-drive-deficient,withdrawal and low status engagement,"Researcher, artist, writer, developer, and archivist recur with focus/intellect/creativity.","Good for specialist work; poor for office politics, which is humanity’s least fun minigame."
generosity,deficient,envious,volatile-low,moderate,low,sabotage helper; rival gatherer; hoarder; gossip; hide preparer; resentful hunter,tribal champion,retainer; jealous artisan; petty courtier; informer; kiln assistant; hoarding merchant,royal workshop specialist,court intriguer; rival merchant; informant; saboteur; ferry hand; resentful soldier,siege craft specialist,court intriguer; guild rival; informer; poacher; town crier assistant; jealous apprentice,guild master,market rival; pundit; office clerk; street heckler; dispatch clerk; exploitative coworker,master artisan,0.10,0.80,ambition-excess; frugality-excess; low empathy,resentment and zero-sum rivalry,"Intriguer, informant, competitor, and saboteur recur with low empathy/ambition excess.",Useful for rivalry systems.
generosity,optimal,generous,high,moderate,medium,gift giver; camp host; healer; camp cook; child watcher; flint knapper,spirit guide,midwife [F]; steward; patron; priest; brick carrier; merchant host,temple astronomer,physician; messenger; teacher; patron; village smith helper; charity steward,arena master; diplomat,parish worker; hospitaler; teacher; patron; brewery assistant; guild sponsor,clockmaker,nonprofit director; philanthropist; social worker; teacher; nurse; shift supervisor; community organizer,master architect,0.85,0.15,empathy; nurturance; friendliness; frugality-optimal,reciprocity patronage and care,"Nurse, teacher, social worker, nonprofit director, organizer, and leader recur with empathy/nurturance.",Generosity plus frugality is sustainable aid; without frugality it becomes bonfire economics.
generosity,excess,extravagant,volatile,moderate,high,feast host; prestige spender; feast steward; moneylender; river gatherer; gift giver,master toolmaker,courtier; patron; feast sponsor; temple donor; irrigation trench digger; festival organizer,chariot master,patron; feast sponsor; bailiff assistant; merchant; road repair crew; carpenter,dueling judge; professional athlete; magistrate,patron; tournament sponsor; feast steward; guild member; mill worker; mason,siege engineer; manor lord; guild master,high-burn founder; event producer; influencer; political donor; luxury promoter; field service technician,crisis mediator; philanthropist,0.35,0.65,frugality-deficient; symmetry; ambition; persuasion,overgiving spectacle and patronage burn,"Patron, influencer, founder, donor, and event producer recur with ambition/persuasion/frugality extremes.","Can create loyalty fast, then insolvency faster."
empathy,deficient,callous,volatile-middle,strong,high,exile enforcer; hard trader; butcher; raider; bone tool maker; execution helper,tribal champion,tax collector; guard; executioner; mine overseer; dock porter; ore miner,royal workshop specialist; slave trader,executioner; jailer; guard; debt collector; mill assistant; rower,siege craft specialist; gladiator trainer [M]; officer,executioner; bailiff; prison keeper; parish laborer; miller; kitchen hand,guild master; inquisitor; mercenary captain,collections agent; manager; prison guard; interrogator; medical aide; management consultant,master artisan,0.45,0.85,ambition-excess; neurochemical suppression; justice-deficient,low concern and instrumental people use,"Executioner, jailer, downsizer, and interrogator recur with emotional suppression and authoritarian civics.",This can be useful in harsh systems but should carry social costs.
empathy,optimal,empathic,high,strong,medium,child watcher; mediator; healer; hide preparer; elder caregiver; camp cook,spirit guide,messenger; midwife [F]; teacher; priest; kiln assistant; physician,temple astronomer; diplomat,mediator; advocate; messenger; teacher; ferry hand; physician,arena master; diplomat,physician; confessor; teacher; mediator; town crier assistant; shepherd,clockmaker; infirmary aide,therapist; physician; mediator; teacher; nurse; dispatch clerk; UX researcher,master architect,1.00,0.10,nurturance; friendliness; justice; neurochemical stability,care understanding and trust repair,"Therapist, nurse, physician, teacher, UX researcher, mediator, and leader repeat with nurturance/friendliness/justice.","Empathy belongs in medicine, teaching, design, diplomacy, and leadership."
empathy,excess,overidentification,volatile,poor,low,lament singer; caregiver; rescue volunteer; mediator; camp cook; shaman,master toolmaker,lament priestess/priest; midwife [F]; charity worker; palace confidant; brick carrier; soldier,chariot master; temple oracle,religious ecstatic; martyr caregiver; tragic actor; advocate; village smith helper; physician,dueling judge,confessor; plague caregiver; reform preacher; teacher; brewery assistant; apprentice,siege engineer; plague nurse,crisis counselor; activist; social worker; trauma responder; therapist; shift supervisor,crisis mediator; event organizer,0.70,0.55,neurochemical volatility; nurturance-excess; generosity-excess,blurred boundaries and emotional flooding,"Activist, counselor, social worker, responder, and therapist recur with generosity/nurturance.",Powerful for care work but burnout-prone.
discipline,deficient,negligent,low-variable,poor,low,gatherer; tool helper; forager; scout; river gatherer; fire keeper,tribal champion,night watch; low-level servant; porter; brewer; irrigation trench digger; apprentice,royal workshop specialist,messenger; soldier; artisan; scribe; road repair crew; stable hand,siege craft specialist,clerk; guard; cook; steward; mill worker; apprentice,guild master,temp worker; intern; clerk; field service technician; gig worker; bus driver,master artisan,0.20,0.70,curiosity-excess; temperance-deficient; ambition-deficient,low follow-through and maintenance failure,Unreliable roles overlap with distracted curiosity and sloth.,A negative modifier for almost every complex job.
discipline,optimal,disciplined,high,strong,medium,stores keeper; craft master; healer; bone tool maker; master hunter; child watcher,spirit guide,physician; soldier; scribe; mason; dock porter; accountant,temple astronomer,engineer; soldier; scholar; notary; mill assistant; physician,arena master; judge,master artisan; monk; physician; accountant; parish laborer; wheelwright,clockmaker; man-at-arms,project manager; accountant; scientist; surgeon; athlete; medical aide; software engineer,master architect,1.00,0.15,focus; patience; frugality; intellect,reliable execution and mastery,"Surgeon, scientist, engineer, accountant, athlete, project manager, and leader repeat with focus/intellect/patience.",Discipline is the multiplier trait for most expert careers.
discipline,excess,compulsive,middle-high but brittle,poor,low,ritual keeper; perfectionist tracker; stores checker; taboo enforcer; hide preparer; bone worker,master toolmaker,ritual scribe; quartermaster; temple rule keeper; censor; kiln assistant; porter,chariot master; accountant,censor; guard; bureaucrat; law formalist; ferry hand; road crew laborer,dueling judge; engineer; officer,guild member; tax auditor; monastic disciplinarian; town crier assistant; market trader; miller,siege engineer; inquisitor clerk; copyist; guild master,guard; QA lead; micromanager; process engineer; dispatch clerk; retail clerk,crisis mediator; auditor; compliance officer; risk officer,0.70,0.45,temperance-excess; focus-excess; civics-authoritarian,overcontrol ritual and rigidity,"Auditor, QA, compliance, engineer, and risk roles recur with focus/temperance/civics.",Excellent at catching errors; may become the error everyone else must route around.
adaptability,deficient,rigid,middle-variable,strong,high,tradition keeper; ritual assistant; old-path tracker; stores guard; camp cook; fixed-route herder,tribal champion,temple rule keeper; guild apprentice; border guard; tax clerk; brick carrier; fixed-route caravan worker,royal workshop specialist,legal formalist; quartermaster; bureaucrat; censor; village smith helper; traditional artisan,siege craft specialist,tradition teacher; monastic worker; copyist; clerk; brewery assistant; guild rule keeper,guild master,standards coordinator; guard; policy clerk; bureaucrat; shift supervisor; systems maintainer,master artisan; compliance officer,0.65,0.45,discipline; dogmatic curiosity; civics-authoritarian,inflexible procedure and tradition,"Compliance, bureaucrat, clerk, and standards roles recur with discipline/civics.",Rigidity is bad in chaos but useful where variance kills.
adaptability,optimal,adaptive,high,strong,high,tool improviser; trader; healer; scout; river gatherer; trail guide,spirit guide,crisis steward; merchant; messenger; engineer; irrigation trench digger; caravan master,temple astronomer; diplomat,engineer; merchant; guard; spy; road repair crew; physician,arena master; officer,explorer; messenger; merchant; town clerk; mill worker; military engineer,clockmaker; diplomat; mayor,software engineer; product manager; entrepreneur; consultant; messenger; field service technician; emergency manager,master architect; diplomat,0.95,0.25,curiosity; resilience; intellect; courage,flexible problem solving and cross-role skill,"Consultant, product manager, engineer, diplomat, entrepreneur, and leader recur with intellect/curiosity/courage.",Adaptability is the trait for changing maps and ugly edge cases.
adaptability,excess,indecisive,low-variable,poor,low,trader; restless scout; route changer; wanderer; bone tool maker; herbalist,master toolmaker,apprentice; scribe; itinerant worker; camp follower; dock porter; wandering merchant,chariot master,restless sailor; spy; guard; peddler; mill assistant; wandering scholar,dueling judge; officer,itinerant merchant; courier; apprentice; hedge scholar; parish laborer; wandering minstrel,siege engineer,freelancer; consultant without focus; market trader; craft apprentice; medical aide; farm laborer,crisis mediator; contract worker,0.45,0.65,curiosity-excess; creativity; low focus,too many options and shifting priorities,"Freelancer, consultant, creator, and career hopper recur with creativity/curiosity but need focus.","High optionality, low closure."
resilience,deficient,fragile,low-variable,poor,low,light gatherer; child watcher; camp helper; bead worker; hide preparer; sheltered storyteller,tribal champion,scribe assistant; textile worker; temple cleaner; light potter; kiln assistant; household servant,royal workshop specialist,temple attendant; light artisan; market helper; copyist; ferry hand; household servant,siege craft specialist,seamstress/tailor; cloister worker; kitchen helper; copyist; town crier assistant; infirmary assistant,guild master,library assistant; data entry clerk; lab assistant; receptionist; dispatch clerk; remote support agent,master artisan,0.60,0.60,patience; modesty; focus,low stress tolerance and injury sensitivity,Light support roles repeat with frailty and shyness.,Fragility should not bar expertise if intellect/focus are high.
resilience,optimal,resilient,high,strong,medium,band defender; hunter; healer; scout; camp cook; migration leader,spirit guide,soldier; midwife [F]; farmer; miner; brick carrier; caravan master,temple astronomer,soldier; physician; sailor; notary; village smith helper; cook,arena master; fire warden; judge,bailiff assistant; soldier; farmer; sailor; brewery assistant; plague physician,clockmaker; magistrate,firefighter; physician; therapist; soldier; EMT; shift supervisor; entrepreneur,master architect,1.00,0.20,physical; courage; neurochemical stability; discipline,stress recovery and endurance,"Firefighter, EMT, physician, therapist, soldier, entrepreneur, and leader recur with courage/discipline.","Resilience keeps good traits functioning under weather, war, and meetings."
resilience,excess,desensitized,middle-high but cold,moderate,medium,corpse handler; danger scout; hunter; raider; river gatherer; execution helper,master toolmaker,mine overseer; prison guard; executioner; soldier; irrigation trench digger; caravan guard,chariot master,executioner; jailer; hardened soldier; debt collector; road repair crew; fuller,dueling judge; gladiator trainer [M],executioner; mercenary; prison keeper; battlefield surgeon; mill worker; cooper,siege engineer; inquisitor guard,disaster worker; trauma surgeon; combat medic; prison guard; interrogator; field service technician; crisis responder,crisis mediator,0.65,0.75,empathy-deficient; neurochemical suppression; courage,hardness and reduced sensitivity,"Crisis responder, surgeon, guard, and interrogator recur with courage/neurochemical suppression.",Very effective in terrible places; can become emotionally expensive.
focus,deficient,scatterbrained,low-variable,poor,low,storyteller; camp helper; street entertainer; gatherer; bone tool maker; errand runner,tribal champion,porter; tavern worker; scribe; market crier; dock porter; festival helper,royal workshop specialist,street performer; peddler; courier; gossip; mill assistant; apprentice,siege craft specialist,day laborer; tavern worker; messenger; minstrel; parish laborer; apprentice,guild master,generalist assistant; sales rep; receptionist; gig worker; medical aide; content creator,master artisan,0.45,0.55,wit; curiosity-excess; adaptability-excess,attention diffusion and low task retention,"Creator, sales, courier, messenger, and assistant recur with impulsive/distracted traits.",Can be charming but needs structure.
focus,optimal,focused,high,strong,medium,toolmaker; tracker; healer; hide preparer; map-memory keeper; hunter,spirit guide,accountant; physician; engineer; scribe; kiln assistant; astronomer-priest,temple astronomer,engineer; scholar; notary; spy; ferry hand; physician,arena master; judge,physician; architect; copyist; scholar; town crier assistant; master artisan,clockmaker,software engineer; scientist; surgeon; analyst; writer; dispatch clerk; cybersecurity analyst,master architect,1.00,0.20,intellect; discipline; patience; perception,deep work craft and expertise,"Scientist, surgeon, analyst, engineer, writer, and leader recur with intellect/discipline/curiosity.",Focus turns ability into finished output.
focus,excess,fixated,volatile-high,strong,high,trapper; ritual monomaniac; isolated toolmaker; bounty hunter; camp cook; toolmaker,master toolmaker; tracker,military engineer; court advisor; craft obsessive; brick carrier; quarry worker; stable hand,chariot master; scribe; priest,spy; prosecutor; guard; village smith helper; dock worker; teamster,dueling judge; engineer; alchemist; bailiff,master artisan; military engineer; brewery assistant; baker; tailor; weaver,siege engineer; inquisitor; scholar; feud knight,research scientist; cybersecurity analyst; specialist surgeon; shift supervisor; cashier; driver,crisis mediator; quant trader; founding merchant; private investigator,0.75,0.55,discipline-excess; curiosity; justice-excess,tunnel vision and obsession,"Researcher, analyst, founder, surgeon, engineer, and investigator recur with discipline/curiosity/justice.",Can produce genius or a very expensive hole in the floor.
honesty,deficient,deceitful,volatile-low,moderate,medium,gossip monger; healer; peddler; thief; river gatherer; military scout,tribal champion,priest; huckster; smuggler; spy; irrigation trench digger; scribe,royal workshop specialist,tax clerk; propagandist; trickster; spy; road repair crew; merchant,siege craft specialist,preacher; charlatan; smuggler; spy; mill worker; bailiff,guild master,huckster; tax clerk; propagandist; fraud analyst; field service technician; teacher aide,master artisan; marketer,0.10,0.95,persuasion-excess; justice-deficient; ambition-excess,lying concealment and fraud,"Spy, scammer, official, huckster, and propagandist recur with persuasion/justice extremes.",Useful for espionage; toxic for trust economies.
honesty,optimal,truthful,high,moderate,medium,oath keeper; mediator; witness; bone tool maker; stores keeper; water carrier,spirit guide,steward; scribe; priest; notary; dock porter; accountant,temple astronomer; judge,historian; guard; lawyer; notary; mill assistant; accountant,arena master; officer; judge,accountant; chronicler; notary; parish laborer; guild treasurer; teamster,clockmaker; judge,journalist; accountant; scientist; auditor; notary; medical aide; compliance lead,master architect; judge,1.00,0.10,justice; humility; discipline; civics,trusted records testimony and accountability,"Auditor, journalist, accountant, compliance, judge, scientist, and leader recur with justice/discipline/intellect.","Honesty is infrastructure. Boring until it vanishes, then everyone screams."
honesty,excess,tactless,middle-variable,moderate,medium,direct healer; feud witness; elder; scout; hide preparer; toolmaker,master toolmaker,rigid teacher; scribe; tax assessor; notary; kiln assistant; military trainer,chariot master; judge,guard; physician; prosecutor; critic; ferry hand; philosopher,dueling judge; military officer,guild inspector; teacher; prosecutor; preacher; town crier assistant; military trainer,siege engineer,consultant; code reviewer; prosecutor; auditor; critic; dispatch clerk; investigative journalist,crisis mediator,0.65,0.55,justice; low friendliness; discipline,truth without timing or softness,"Critic, prosecutor, auditor, journalist, code reviewer, and consultant recur with justice/focus.",Tactless is useful when truth matters more than comfort; combustible in diplomacy.
creativity,deficient,unimaginative,middle-low,poor,low,routine gatherer; tradition helper; firewood carrier; guard; camp cook; fixed-pattern weaver,tribal champion,brick maker; field hand; clerk; guard; brick carrier; standard potter,royal workshop specialist,infantryman; bureaucrat; toll clerk; copyist; village smith helper; routine artisan,siege craft specialist,field hand; copyist; guard; clerk; brewery assistant; routine guild worker,guild master,data entry clerk; compliance clerk; assembly worker; analyst; shift supervisor; quality inspector,master artisan,0.65,0.45,discipline; rigidity; dogma,conventional repetition and low invention,"Clerk, guard, copyist, QA, and routine analyst recur with discipline/rigidity.",Useful for stable repetition but not innovation.
creativity,optimal,creative,high,moderate,low,problem solver; storyteller; toolmaker; artist; river gatherer; ritual designer,spirit guide,architect; musician; inventor; artisan; irrigation trench digger; temple designer,temple astronomer,strategist; engineer; inventor; poet; road repair crew; playwright,arena master,architect; composer; inventor; artist; mill worker; master artisan,clockmaker,entrepreneur; scientist; designer; engineer; artist; writer; field service technician; game designer,master architect,0.90,0.25,intellect; curiosity; focus; wit,invention art and synthesis,"Scientist, engineer, writer, designer, artist, entrepreneur, and leader recur with intellect/curiosity/wit.",Creativity should share scientist when the science requires model-building or invention.
creativity,excess,delusion,volatile,poor,medium,shaman; strange artist; omen obsessive; inventor; bone tool maker; fisher,master toolmaker; street preacher,architect; ecstatic performer; dock porter; porter; dock hand; tanner,chariot master; temple oracle; sect leader; alchemist-priest,inventor; tragic playwright; mill assistant; street preacher; road crew laborer; wheelwright,dueling judge; alchemist; sect leader,artist; inventor; mystic; parish laborer; miller; fuller,siege engineer; alchemist; street preacher,experimental artist; outsider scientist; surrealist writer; medical aide; retail clerk; cleaner,crisis mediator; pundit; sect leader; founding merchant,0.45,0.60,intellect-excess; neurochemical volatility; persuasion-excess,fantasy confusion and unstable vision,"Artist, founder, cult leader, outsider scientist, and writer recur with intellect/neurochemical/persuasion excess.",Can produce genius or nonsense; often both before lunch.
assertiveness,deficient,submissive,low-variable,poor,low,child watcher; camp aide; gatherer; helper; hide preparer; servant-like retainer,tribal champion,temple attendant; scribe assistant; palace aide; field hand; kiln assistant; household servant,royal workshop specialist,stable hand; servant; rower; aide; ferry hand; assistant artisan,siege craft specialist,kitchen worker; field hand; servant; valet; town crier assistant; clerk assistant,guild master,retail associate; analyst; support rep; care aide; dispatch clerk; administrative assistant,master artisan,0.60,0.65,friendliness-excess; loyalty-excess; modesty-excess,low agency and deference,"Assistant, servant, support, aide, and junior roles recur with obsequious/sycophant patterns.",Can be stable if paired with skill and safe supervisors.
assertiveness,optimal,assertive,high,strong,high,mediator; defender; trader; camp cook; guard; hide preparer,spirit guide; hunting master,caravan master; merchant; guard; foreman; brick carrier; notary,temple astronomer; officer; judge advocate,guard; lawyer; merchant; physician advocate; village smith helper; quarry laborer,arena master; provincial governor; officer,watchman; guard; lawyer; town clerk; brewery assistant; guild member,clockmaker; sheriff; captain; mayor; guild master,physician advocate; entrepreneur; negotiator; manager; lawyer; shift supervisor; union representative,master architect,0.95,0.25,courage; persuasion; ambition; justice,clear agency command and advocacy,"Lawyer, manager, entrepreneur, negotiator, advocate, union rep, and leader recur with courage/persuasion/ambition.",Assertiveness helps convert internal traits into external action.
assertiveness,excess,brutal,volatile-high,strong,high,war chief; enforcer; raider; bully; river gatherer; feud witness,master toolmaker,guard; mine overseer; irrigation trench digger; shock commander; charcoal burner; weaver,chariot master; mercenary captain; plantation overseer,enforcer; guard; debt collector; road repair crew; mason helper; miller,dueling judge; gladiator trainer [M]; strongman ruler; officer,watchman; guild member; bandit; mill worker; porter; weaver,siege engineer; mercenary captain; inquisitor guard; sheriff; guild master,manager; enforcer; guard; field service technician; farm laborer; nurse aide,crisis mediator; works foreman; negotiator; military leader; police officer,0.35,0.90,ambition-excess; low empathy; civics-authoritarian,dominating force and intimidation,"Enforcer, brutal leader, manager, and officer roles recur with ambition/civics/low empathy.",High command power; high revolt risk.
loyalty,deficient,disloyal,volatile-low,poor,low,poacher; gossip monger; rival helper; bandit; bone tool maker; mercenary,tribal champion,guard; itinerant laborer; smuggler; spy; dock porter; palace informer,royal workshop specialist,tax clerk; informant; mercenary; spy; mill assistant; carpenter,siege craft specialist,spy; itinerant laborer; parish laborer; bailiff; stable hand; mason,guild master,political aide; office clerk; huckster; medical aide; security consultant; security guard,master artisan,0.10,0.90,honesty-deficient; ambition-excess; adaptability-excess,betrayal low attachment and opportunism,"Spy, informer, turncoat, mole, and insider threat recur with dishonesty/ambition.",Great for intrigue; awful for team cohesion.
loyalty,optimal,commitment,high,strong,high,stores keeper; child watcher; oath keeper; hide preparer; kinsman defender; bone worker,spirit guide,guild member; steward; soldier; guard; kiln assistant; temple servant,temple astronomer,notary; soldier; guard; steward; ferry hand; physician retainer,arena master; judge aide; officer,guild member; retainer; steward; soldier; town crier assistant; household manager,clockmaker; guild master,civil servant; team lead; teacher; soldier; nurse; dispatch clerk; operations manager,master architect,0.95,0.15,discipline; justice; friendliness; nurturance,reliable affiliation and stewardship,"Operations manager, civil servant, nurse, teacher, soldier, and leader recur with discipline/justice/nurturance.",Commitment is the trait for trusted institutions.
loyalty,excess,sycophant,volatile-low,poor,low,court attendant; retainer; household servant; informer; camp cook; gatherer,master toolmaker; oath zealot,cult follower; faction clerk; palace aide; courtier; brick carrier; loyalist guard,chariot master,guard; client retainer; courtier; informer; village smith helper; faction propagandist,dueling judge; loyalist officer,courtier; flatterer; retainer; faction clerk; brewery assistant; shepherd,siege engineer; inquisitor aide,political staffer; executive assistant; loyalist pundit; cult member; sales promoter; shift supervisor,crisis mediator; event organizer,0.50,0.65,friendliness-excess; modesty-excess; civics-authoritarian,blind attachment and factional dependence,"Staffer, assistant, courtier, propagandist, and evangelist recur with obsequious/civics traits.",Useful near power but prone to bad causes.
nurturance,deficient,neglectful,low-variable,moderate,low,animal keeper; child watcher; hunter; raider; river gatherer; stores helper,tribal champion,steward; servant; low-grade guard; herder; irrigation trench digger; midwife assistant,royal workshop specialist,household manager; landlord; rough soldier; guard; road repair crew; physician assistant,siege craft specialist,steward; master; poorhouse worker; rough guard; mill worker; apprentice,guild master; infirmary aide,landlord; customer support; caregiver; manager; field service technician; shift supervisor,master artisan,0.15,0.80,empathy-deficient; discipline-deficient; callousness,low care maintenance and poor stewardship,Bad manager/caregiver/landlord repeats with low empathy and negligence.,Useful as a negative flag for roles involving dependents.
nurturance,optimal,nurturing,high,moderate,medium,animal tender; teacher; homemaker; healer; bone tool maker; child watcher,spirit guide,animal keeper; physician; midwife [F]; teacher; dock porter; household manager,temple astronomer,physician; teacher; mentor; steward; mill assistant; cooper,arena master; infirmary aide,midwife [F]; teacher; physician; foster parent; parish laborer; chandler,clockmaker; infirmary aide,physician; therapist; teacher; manager; nurse; medical aide; social worker,master architect,1.00,0.10,empathy; patience; generosity; friendliness,care growth teaching and protection,"Nurse, teacher, physician, therapist, social worker, manager, and leader recur with empathy/patience/generosity.","Nurturance is the care-and-development trait, not only parenting."
nurturance,excess,smothering,volatile,poor,low,nanny; clan gatekeeper; healer; gatekeeper; hide preparer; homemaker,master toolmaker,midwife [F]; temple caretaker; steward; palace nurse; kiln assistant; household manager,chariot master,mentor; teacher; household manager; parish worker; ferry hand; physician,dueling judge,homemaker; parish worker; steward; town crier assistant; mason; wheelwright,siege engineer; abbess; infirmary aide,office manager; therapist; teacher; caregiver; dispatch clerk; store stocker,crisis mediator; homemaker,0.40,0.70,empathy-excess; discipline-excess; loyalty-excess,overprotection and control through care,"Teacher, therapist, caregiver, manager, and steward recur with empathy/discipline excess.",Care becomes control; excellent drama hook.
perception,deficient,oblivious,low-variable,poor,low,supervised herder; gatherer; camp cleaner; child helper; camp cook; low-risk craft worker,tribal champion,temple cleaner; stable hand; field hand; porter; brick carrier; workshop helper,royal workshop specialist,soldier; farmhand; porter; rower; village smith helper; kitchen worker,siege craft specialist,stable hand; field hand; scullion; porter; brewery assistant; infantry levy,guild master,data entry clerk; stock clerk; janitorial aide; grounds worker; shift supervisor; assembly worker,master artisan,0.65,0.70,intellect-deficient; discipline; physical,low situational awareness,Simple labor roles recur with low intellect/focus/awareness.,"Bad for scouting, law, medicine, and management."
